41520650 13511 1  -1 103481  147500   150000   341429750
41520677 13511 1  -1 103481  147500   150000   331348315
41534200 20749 1  -5 1219202 134974   168718   351714943
41520660 13511 1  -1 103481  147500   150000   311979337
41520669 13511 1  -1 103481  147500   150000   315993337
41520655 13511 1  -1 103481  147500   150000   322136337
41520665 13511 1  -1 103481  147500   150000   333566337
41520643 13511 1  -1 103481  147500   150000   337773337
41520671 13511 1  -1 103481  147500   150000   339506337
41520650 13511 1  -1 103481  147500   150000   335307744
41520677 13511 1  -1 103481  147500   150000   326351192
41534200 20749 1  -5 1219202 134974   168718   379484881
41505793 21862 1  0  1195781 51655    0        375390753
41538848 22794 1  0  1233388 210000   210000   354864761
41538844 22794 1  0  1233388 210000   210000   381568761
41538572 27498 1  -1 975131  18000    19500    367645755
41538129 27498 1  -1 1217981 19999    19999    363325191
41520671 13511 1  -1 103481  147500   150000   326324002
41520669 13511 1  -1 103481  147500   150000   339867002
41520665 13511 1  -1 103481  147500   150000   319188629
41520669 13511 1  -1 103481  147500   150000   320776629
41520643 13511 1  -1 103481  147500   150000   332653629
41520660 13511 1  -1 103481  147500   150000   336588629
41520655 13511 1  -1 103481  147500   150000   338754629
41520650 13511 1  -1 103481  147500   150000   320256527
41520677 13511 1  -1 103481  147500   150000   339976628
41538571 27498 1  -1 975131  18000    19500    373703344
41534200 20749 1  -5 1219202 134974   168718   360961104
41539799 22448 1  0  1088830 30000    30000    371212012
41520669 13511 1  -1 103481  147500   150000   330641608
41520650 13511 1  -1 103481  147500   150000   320648893
41520677 13511 1  -1 103481  147500   150000   320270452
41534200 20749 1  -5 1219202 134974   168718   387507256
41540248 22521 1  -5 1055216 102250   110000   361988609
41540228 29740 1  0  1055216 100100   110000   380958801
41539799 22448 1  0  1088830 30000    30000    358602386
41520669 13511 1  -1 103481  147500   150000   324868640
41520650 13511 1  -1 103481  147500   150000   330526533
41520677 13511 1  -1 103481  147500   150000   313298008
41539799 22448 1  0  1088830 30000    30000    363965734
41520669 13511 1  -1 103481  147500   150000   337308192
41520650 13511 1  -1 103481  147500   150000   312922210
41520677 13511 1  -1 103481  147500   150000   345887776
41539799 22448 1  0  1088830 30000    30000    370796886
41520650 13511 1  -1 103481  147500   150000   341800316
41520677 13511 1  -1 103481  147500   150000   318583118
41543618 20520 1  -1 760316  143000   160000   355916446
41543637 20520 1  -1 760316  143000   160000   361654446
41543628 20520 1  -1 760316  143000   160000   379579446
